{'recall': 0.82988675529295919, 'precision': 0.78946135831381736, 'f1': 0.80916946711473847}
{'recall': 0.82274741506646976, 'precision': 0.81195335276967928, 'f1': 0.81731474688187833}
{'recall': 0.80797636632200887, 'precision': 0.82816048448145341, 'f1': 0.8179439252336449}
{'recall': 0.80920728705071399, 'precision': 0.82733450792851748, 'f1': 0.81817050404480396}
{'recall': 0.82545544066962084, 'precision': 0.81700779727095518, 'f1': 0.82120989468528038}
{'recall': 0.84244214672575091, 'precision': 0.80121751346288927, 'f1': 0.82131285251410058}
{'recall': 0.81733136386016736, 'precision': 0.82587064676616917, 'f1': 0.82157881712447411}
{'recall': 0.8124076809453471, 'precision': 0.83144368858654571, 'f1': 0.82181546507284264}
{'recall': 0.81191531265386507, 'precision': 0.83282828282828281, 'f1': 0.82223884318125162}
{'recall': 0.8537666174298375, 'precision': 0.79377431906614782, 'f1': 0.82267821136282748}
{'recall': 0.81905465288035451, 'precision': 0.82699478001491422, 'f1': 0.82300556586270879}
{'recall': 0.8377646479566716, 'precision': 0.80927467300832345, 'f1': 0.82327325511068106}
{'recall': 0.83505662235352041, 'precision': 0.81264973646382366, 'f1': 0.82370082564351621}
{'recall': 0.81659281142294438, 'precision': 0.83112002004510144, 'f1': 0.82379237551223139}
{'recall': 0.82373215164943381, 'precision': 0.82495069033530577, 'f1': 0.82434097068243417}
{'recall': 0.83916256157635472, 'precision': 0.81041864890580395, 'f1': 0.8245401742497579}
{'recall': 0.83201970443349749, 'precision': 0.81791767554479422, 'f1': 0.82490842490842486}
{'recall': 0.82890201870999503, 'precision': 0.82242305813385441, 'f1': 0.825649828347229}
{'recall': 0.82397833579517477, 'precision': 0.82826033160108881, 'f1': 0.82611378501789456}
{'recall': 0.81265386509108817, 'precision': 0.8420918367346939, 'f1': 0.82711099974943636}
{'recall': 0.83004926108374388, 'precision': 0.82699386503067485, 'f1': 0.82851874615857402}
{'recall': 0.82274741506646976, 'precision': 0.83508245877061471, 'f1': 0.82886904761904767}
{'recall': 0.83423645320197048, 'precision': 0.82771260997067453, 'f1': 0.83096172718351324}
{'recall': 0.82816346627277204, 'precision': 0.83391175012394647, 'f1': 0.83102766798418981}
{'recall': 0.82914820285573609, 'precision': 0.83386976974498639, 'f1': 0.83150228366868284}
{'recall': 0.84416543574593794, 'precision': 0.82151413512218496, 'f1': 0.83268576979116071}
{'recall': 0.83275862068965523, 'precision': 0.83605341246290799, 'f1': 0.83440276406712732}
{'recall': 0.82857142857142863, 'precision': 0.84205256570713394, 'f1': 0.83525760397268778}
{'recall': 0.84679802955665029, 'precision': 0.82465819141280883, 'f1': 0.83558148013124312}
