{'recall': 0.62036809815950922, 'precision': 0.52875967370842925, 'f1': 0.57091237579042453}
{'recall': 0.8330049261083744, 'precision': 0.71880977683315617, 'f1': 0.77170564746149461}
{'recall': 0.77488965179009317, 'precision': 0.77054376981224093, 'f1': 0.7727106003178873}
{'recall': 0.83619421284943596, 'precision': 0.73270305113880529, 'f1': 0.78103527256069627}
{'recall': 0.80123152709359602, 'precision': 0.76289868667917449, 'f1': 0.78159538683325325}
{'recall': 0.80024630541871922, 'precision': 0.76411100658513642, 'f1': 0.78176130895091434}
{'recall': 0.82955665024630543, 'precision': 0.7395696091348265, 'f1': 0.78198281866728581}
{'recall': 0.81157635467980294, 'precision': 0.75921658986175111, 'f1': 0.7845238095238094}
{'recall': 0.81256157635467985, 'precision': 0.76631823461091753, 'f1': 0.78876270173341301}
{'recall': 0.80505149583128988, 'precision': 0.77338044758539459, 'f1': 0.7888982338099243}
{'recall': 0.82687591956841588, 'precision': 0.75673249551166966, 'f1': 0.79025076165924546}
{'recall': 0.82093596059113305, 'precision': 0.76480036714089028, 'f1': 0.79187455452601563}
{'recall': 0.82019704433497542, 'precision': 0.76781185151026055, 'f1': 0.79314040728831725}
{'recall': 0.80088278567925453, 'precision': 0.79022501814662471, 'f1': 0.79551820728291311}
{'recall': 0.82167487684729068, 'precision': 0.7767171129220023, 'f1': 0.79856373429084371}
