{'recall': 0.8263854830799412, 'precision': 0.71458863443596266, 'f1': 0.76643165794860135}
{'recall': 0.84771947032859241, 'precision': 0.73584504044274157, 'f1': 0.78783044667274371}
{'recall': 0.83742030407062285, 'precision': 0.746448087431694, 'f1': 0.78932162255865024}
{'recall': 0.74325649828347229, 'precision': 0.86132423984086393, 'f1': 0.79794655785178359}
{'recall': 0.82914820285573609, 'precision': 0.7863646976418398, 'f1': 0.8071899340922708}
{'recall': 0.78837665522314859, 'precision': 0.83876858857291936, 'f1': 0.81279231449879907}
{'recall': 0.80235409514467881, 'precision': 0.83811475409836067, 'f1': 0.81984465046354293}
{'recall': 0.84011770475723391, 'precision': 0.80159101544220868, 'f1': 0.82040229885057459}
{'recall': 0.84121122599704579, 'precision': 0.80894886363636365, 'f1': 0.82476466328747278}
{'recall': 0.84109857773418339, 'precision': 0.81068305365161897, 'f1': 0.82561078348778427}
{'recall': 0.84014778325123152, 'precision': 0.82291917973462003, 'f1': 0.83144424131627048}
{'recall': 0.84306032368808237, 'precision': 0.82189815921587372, 'f1': 0.83234475245127704}
{'recall': 0.83850320039389459, 'precision': 0.82850887861834099, 'f1': 0.83347607977486837}
{'recall': 0.83866995073891626, 'precision': 0.82988057518888614, 'f1': 0.83425211319367876}
{'recall': 0.83948793697685864, 'precision': 0.83109919571045576, 'f1': 0.83527250459277402}
