67,54,4,36197,668,55,3555,36198,124,599,16109,10542,3440,5082,3,2106,36199,6433,191,542,4,17786,1519,4764,3,4976,730,234 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
513,13,641,10,311,39,147 1,1,1,1,1,1,1
2761 1
18,1783,13,15,244,916,36200,7,24,234,223,24,124,27,36201,7609,124,2082,40,667 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,286,96,13,15,916,235,7,6,535,12,4498,71,1918 1,1,1,1,1,1,1,1,1,1,1,1,4,1
24,163,63,345,46,68,2810,3,146,290,10,500,400,345,7436 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,273,278,21,1190,218,5,423,10,24,389 1,1,1,1,1,13,1,26,1,1,1
38,1146,197,10,46,68,62,1050,7,2853,1202,17,516,7,116,510,10,1044,260,135,64,5772,3,10,232,915 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,188,34,21,132,3272,10,8652,3,5,18,14,482,1033,1152,1050 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,57,311,174,10772,234,56,136,34,29,2991,1728,970,29,683,263,29,5123,1653,29,174 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39 1
3179,203,29,1804,7,512,5,752,487,29,2125,586,22,711,113,29,706,108,22,1208 11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,1570,478,36,22,135,65,29,4746,558,22,135,113,29,2273,669,22,1208 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,809,501,22,58,25,1208 1,17,1,1,1,1,1
29,17787,755,22,135,65,29,218,125,22,135,65,29,423,447,22,135,65,29,236,141,22,36202 1,9,1,1,1,1,1,13,1,1,1,1,1,26,1,1,1,1,1,12,1,1,1
674 1
81 1
81,7,182 1,1,1
174,182,81,5,57,72 1,1,1,1,1,1
3048 1
207,197 1,1
12,11,342 1,1,1
316,205 1,1
63,94,9901,53,303,983 1,1,1,1,1,1
133,1217,5,145 1,1,1,1
386,156,1708,48 1,1,1,1
91 1
612 1
11,213 1,1
214 1
11,240,3,246,3,26,1061 1,1,1,1,1,1,1
326,327,44 1,1,1
457,532 1,1
689,264,81,29,15,1444,5,525,48,738,3,564,19,1604,1214,3,111,344,2320,2413 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
733,398,20,17083,339 1,1,1,1,1
176,209,3910,1013,4,758,886 1,1,1,1,1,1,1
195,151,4,367,137,161 1,4,1,1,1,1
99,85,82,733,398,20,416,185 1,1,1,1,1,1,1,1
460,15285,429 1,1,1
7841,367,1524,4,132,19,218,5,423,135,273 1,1,1,1,1,1,13,1,26,1,1
6433,191,542,4,17786,1519,4764,3,4976,1167,58,17788 1,1,1,1,1,1,1,1,1,1,1,1
1044,260,4,146,232,1496,922,10,2853,1202 1,1,1,1,1,1,1,1,1,1
17788 1
776,4,132,19,3885,236,4,367,137,161 15,1,1,1,1,12,1,1,1,1
9,15,8,965,817,3,174,4,367,921 1,1,1,1,1,1,1,1,1,1
104 1
1356 1
836,3,1464,400,1597 1,1,1,1,1
392,5,347 1,1,1
733,398 1,1
520,1597,3,1905 1,1,1,1
1953 1
233,39,878 1,1,1
86,137,389 1,1,1
308,35,572 1,1,1
1590,1902 1,1
369,112,525,12,6,87 1,1,1,1,1,1
3963,3871,2769,6974,3,107 1,1,1,1,1,1
806,4,17789,825,4,36203,843,4,17789,36204 1,1,1,1,1,1,1,1,1,1
