Label,Expected,TP,FP,FN,Recall,Precision,F-measure,Training Samples
cad.mention.before_dct,170,162,30,8,0.9529411764705882,0.84375,0.8950276243093922,254
cad.mention.during_dct,175,162,30,13,0.9257142857142857,0.84375,0.88283378746594,255
cad.mention.after_dct,171,162,30,9,0.9473684210526315,0.84375,0.8925619834710744,253
cad.event.before_dct,129,108,40,21,0.8372093023255814,0.7297297297297297,0.779783393501805,222
cad.event.during_dct,9,2,11,7,0.2222222222222222,0.15384615384615385,0.18181818181818185,19
cad.event.after_dct,1,0,0,1,0.0,0,0,2
cad.test.before_dct,53,38,21,15,0.7169811320754716,0.6440677966101694,0.6785714285714285,66
cad.test.during_dct,6,1,1,5,0.16666666666666666,0.5,0.25,13
cad.test.after_dct,0,0,0,0,0,0,0,0
cad.symptom.before_dct,41,13,17,28,0.3170731707317073,0.43333333333333335,0.36619718309859156,52
cad.symptom.during_dct,26,3,10,23,0.11538461538461539,0.23076923076923078,0.15384615384615388,23
cad.symptom.after_dct,3,0,0,3,0.0,0,0,3
diabetes.mention.before_dct,354,345,22,9,0.9745762711864406,0.9400544959128065,0.957004160887656,512
diabetes.mention.during_dct,356,345,22,11,0.9691011235955056,0.9400544959128065,0.9543568464730291,518
diabetes.mention.after_dct,355,345,22,10,0.971830985915493,0.9400544959128065,0.9556786703601108,512
diabetes.a1c.before_dct,71,39,12,32,0.5492957746478874,0.7647058823529411,0.6393442622950819,69
diabetes.a1c.during_dct,11,2,12,9,0.18181818181818182,0.14285714285714285,0.16,19
diabetes.a1c.after_dct,0,0,0,0,0,0,0,0
diabetes.glucose.before_dct,18,0,4,18,0.0,0.0,0,14
diabetes.glucose.during_dct,15,0,3,15,0.0,0.0,0,7
diabetes.glucose.after_dct,0,0,0,0,0,0,0,0
obese.mention.before_dct,79,75,8,4,0.9493670886075949,0.9036144578313253,0.9259259259259259,132
obese.mention.during_dct,87,75,8,12,0.8620689655172413,0.9036144578313253,0.8823529411764707,145
obese.mention.after_dct,79,75,8,4,0.9493670886075949,0.9036144578313253,0.9259259259259259,132
obese.bmi.before_dct,2,0,0,2,0.0,0,0,2
obese.bmi.during_dct,13,2,5,11,0.15384615384615385,0.2857142857142857,0.2,11
obese.bmi.after_dct,2,0,0,2,0.0,0,0,1
hyperlipidemia.mention.before_dct,237,226,9,11,0.9535864978902954,0.9617021276595744,0.9576271186440678,331
hyperlipidemia.mention.during_dct,237,226,9,11,0.9535864978902954,0.9617021276595744,0.9576271186440678,331
hyperlipidemia.mention.after_dct,237,226,9,11,0.9535864978902954,0.9617021276595744,0.9576271186440678,331
hyperlipidemia.high_ldl.before_dct,26,3,1,23,0.11538461538461539,0.75,0.19999999999999998,16
hyperlipidemia.high_ldl.during_dct,3,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,9
hyperlipidemia.high_ldl.after_dct,0,0,0,0,0,0,0,0
hyperlipidemia.high_chol..before_dct,9,0,0,9,0.0,0,0,7
hyperlipidemia.high_chol..during_dct,2,0,0,2,0.0,0,0,1
hyperlipidemia.high_chol..after_dct,0,0,0,0,0,0,0,0
