Label,Expected,TP,FP,FN,Recall,Precision,F-measure,Training Samples
cad.mention,516,486,90,30,0.9418604651162791,0.84375,0.8901098901098902,762
cad.event,139,110,51,29,0.7913669064748201,0.6832298136645962,0.7333333333333333,243
cad.test,59,39,22,20,0.6610169491525424,0.639344262295082,0.65,79
cad.symptom,70,16,27,54,0.22857142857142856,0.37209302325581395,0.2831858407079646,78
diabetes.mention,1065,1035,66,30,0.971830985915493,0.9400544959128065,0.9556786703601108,1542
diabetes.a1c,82,41,24,41,0.5,0.6307692307692307,0.5578231292517006,88
diabetes.glucose,33,0,7,33,0.0,0.0,0,21
obese.mention,245,225,24,20,0.9183673469387755,0.9036144578313253,0.9109311740890689,409
obese.bmi,17,2,5,15,0.11764705882352941,0.2857142857142857,0.16666666666666666,14
hyperlipidemia.mention,711,678,27,33,0.9535864978902954,0.9617021276595744,0.9576271186440678,993
hyperlipidemia.high_ldl,29,4,3,25,0.13793103448275862,0.5714285714285714,0.2222222222222222,25
hyperlipidemia.high_chol,11,0,0,11,0.0,0,0,8
hypertension.mention,1098,1065,36,33,0.9699453551912568,0.9673024523160763,0.9686221009549795,1538
hypertension.high_bp,195,138,100,57,0.7076923076923077,0.5798319327731093,0.6374133949191686,359
medication.ace_inhibitor,612,546,71,66,0.8921568627450981,0.8849270664505673,0.888527257933279,948
medication.anti_diabetes,0,0,0,0,0,0,0,3
medication.arb,193,153,21,40,0.7927461139896373,0.8793103448275862,0.8337874659400545,283
medication.aspirin,798,754,69,44,0.9448621553884712,0.9161603888213852,0.9302899444787168,1271
medication.beta_blocker,835,787,102,48,0.9425149700598803,0.8852643419572553,0.9129930394431554,1391
medication.calcium_channel_blocker,385,346,45,39,0.8987012987012987,0.8849104859335039,0.8917525773195877,542
medication.diuretic,222,200,63,22,0.9009009009009009,0.7604562737642585,0.8247422680412371,314
medication.dpp4_inhibitors,6,0,0,6,0.0,0,0,1
medication.ezetimibe,36,12,0,24,0.3333333333333333,1.0,0.5,36
medication.fibrate,90,63,0,27,0.7,1.0,0.8235294117647058,64
medication.insulin,395,366,72,29,0.9265822784810127,0.8356164383561644,0.8787515006002401,629
medication.metformin,356,330,84,26,0.9269662921348315,0.7971014492753623,0.8571428571428572,536
medication.niacin,25,3,0,22,0.12,1.0,0.21428571428571425,20
medication.nitrate,271,211,63,60,0.7785977859778598,0.7700729927007299,0.7743119266055047,318
medication.statin,817,768,74,49,0.9400244798041616,0.9121140142517815,0.925858951175407,1274
medication.sulfonylureas,288,273,21,15,0.9479166666666666,0.9285714285714286,0.9381443298969072,462
medication.thiazolidinedione,61,54,18,7,0.8852459016393442,0.75,0.8120300751879699,118
medication.thienopyridine,284,255,42,29,0.897887323943662,0.8585858585858586,0.8777969018932874,281
smoker.current,33,17,19,16,0.5151515151515151,0.4722222222222222,0.49275362318840576,57
smoker.ever,3,0,0,3,0.0,0,0,9
smoker.never,120,93,14,27,0.775,0.8691588785046729,0.8193832599118942,183
smoker.past,113,95,26,18,0.8407079646017699,0.7851239669421488,0.811965811965812,148
smoker.unknown,245,186,64,59,0.7591836734693878,0.744,0.7515151515151515,0
family_hist.present,19,0,0,19,0.0,0,0,21
family_hist.not_present,495,495,19,0,1.0,0.9630350194552529,0.9811694747274529,0
