69,49,4,23659,378,325,1124,8829,89,538,825,167,81,341,310,823,22,59,2,607,7601,22,33 5,26,30
16,14,1634,10,55,573,268,23660,13,24,333,5,32,15,772,2,1975,10,24,503,2,16,14,4166,1701,1579,3037,2332,534 0
24,97,654,374,1036,198,146,20,23661,887,80 0
47,1732,92,40,55,382,10,3216,6,607 30
389,14199,1483,667,43,1238,1036,198,146 0
164,143,76,91,1526,1091,3924,434,8830,28,4873,76,19,429,28,543,6544,703,9,10298,10,6,269,2,2032,2,3132,8 1,2
373,134,1066,1091,2682,227,5596,149,1424,2892,2087 0
836,529,2,21,39,11,44,422,7,87,4046,26,396 0
126,89,583 0
7600,8832,836,19,6051 0
88,115 0
254,836,19,1703 10,29
488,367,4627,2,940,546,2,544,982,2,1587,2593,1415,8194,1351,7,847,386,6373,48,21,11,596,26,339,115 0
155,867,5,7067 0
1284,16,589,10,55,453,42,58,10683,28,125,24,586 0
589,10,50,847,534,7,214,3037,255,7,194,27,468,2,578,13,352 0
226,90 0
448,57 0
2338,1002,76,1283,19,4693,3574,6945,2492,13,2568 0
11,115 0
461,2701,1144,2,835,12,751,7264,2,530,751,4171,2,889,426,2,3450,2,1227,2,5,1804,483 0
155,1005,2,23662,4,1005,5,3457,483 0
155,4632,542,2,207,801 0
14203,4,4632,542,23663,252 0
1195,2,1732,461,14,576,10,11262,2864,12,132,23664 0
127,19,3451,1047,1836,5,2049,2314 13,15,19
67,94,80,14204,251,2,5017 14
16,3791,38,10,23665,10,433,10,24,1207,13,260 0
67,94,2085,38,376,20,23666,27,24,305,101 0
47,1732,37,16,14,1664,57,425,1172 0
17,110,2,11,228,12,583 0
137,2046,1146,529,77,2030,6593,1512,1206,59,910,1361,1206,51,2457,873,138,172,925,230,768,25,33,1286,1456,25,138,662,2842,7599,154,22,60,35,27,1090,138,4296,2826,35,1800,82,739,2419,560,46,35,283,2923,184,83,22,25,33,6051,10684,3189,1572,10685,4,10686,1572,95,10687,27,420,82,310,3042,447,22,51,1366,25,59,1151,1342,130,22,25,33,273,31,4610,228,12,2511,5,3011,230,768,25,33,247,4,23667,1703,390,25,33,1997,1760,247,4,23668,1273,4,14203,36,2458,78,89,30,1284 19,18,29,15,26
796,1110,6623,70,5285,984 0
2845,74,740,2,139,304,10689 0
1203,2292,6467,128,30,11,334,128,30,7,878,332 0
603,176,50,39,3212,812,1981 0
179,30,17,8828,2,8796,12,10690,2,110,994 0
1154,3840,2,248,726,65,523,3840 0
2590,27,1502,497,511,119,223,2,1844,938 0
3798 37
11,182,554 0
1564,5,4064,1551,1291,5208,7463,163,7,213,88,713,2,3648,2,976,23669,2,3294,2,3094,2,508,2,469,2,420,1112,2,14202,2,1609,26,1949,2,892,2,1251,2,396,2,44,422,2,2100,1417,167,2,228,12,2376,2,572,2132,2,263,34,2,402,2,435,2,613,2,1463,2,812,588,2,807,2,1173,2,756,2,754,388 0
93,122,67,94,23670,296,284,372,145,723,224,893,779,762,2,11,180,326,181,11,484,2,5383,2,26,2403,202,225,5282,6233 0
725 0
570 0
11,1930 0
2444,483,112,11,342,26,620,1113 0
43,293,2427 0
11,293,229,799,11,815,26,2306,1289,44,6336,10,1043 0
199,225,662,1129 0
11,856,2,1056,2,26,1223,694,135,145,5,212 0
11,387,2,711,2,26,766,187,133,5,375 0
11,342,26,953,812,73,11,812,342 0
878,4369,2,2981,1790,2,11,2315,2026,2,375 0
2174,11,79 0
11,4555 0
199,525,1608,3465,3466,11,1076,26,798,277,323,2359,2531,99,2495,42,1777,659,3005,1984,176,55,156 0
10691,809,17,6050,2,5125,19,2935,1865,2,2656,2,176,55,8753,2109,10692,1984 0
