Label,Expected,TP,FP,FN,Recall,Precision,F-measure,Training Samples
cad.mention.before_dct,170,165,55,5,0.9705882352941176,0.75,0.846153846153846,1106
cad.mention.during_dct,175,165,54,10,0.9428571428571428,0.7534246575342466,0.8375634517766497,1108
cad.mention.after_dct,171,165,54,6,0.9649122807017544,0.7534246575342466,0.8461538461538461,1102
cad.event.before_dct,129,116,112,13,0.8992248062015504,0.5087719298245614,0.6498599439775911,2108
cad.event.during_dct,9,0,0,9,0.0,0,0,140
cad.event.after_dct,1,0,0,1,0.0,0,0,20
cad.test.before_dct,53,53,286,0,1.0,0.15634218289085547,0.27040816326530615,2167
cad.test.during_dct,6,0,15,6,0.0,0.0,0,258
cad.test.after_dct,0,0,0,0,0,0,0,0
cad.symptom.before_dct,41,22,73,19,0.5365853658536586,0.23157894736842105,0.32352941176470584,401
cad.symptom.during_dct,26,0,0,26,0.0,0,0,159
cad.symptom.after_dct,3,0,0,3,0.0,0,0,14
diabetes.mention.before_dct,354,343,20,11,0.9689265536723164,0.9449035812672176,0.9567642956764295,2030
diabetes.mention.during_dct,356,343,20,13,0.9634831460674157,0.9449035812672176,0.9541029207232267,2062
diabetes.mention.after_dct,355,343,20,12,0.9661971830985916,0.9449035812672176,0.9554317548746519,2030
diabetes.a1c.before_dct,71,56,41,15,0.7887323943661971,0.5773195876288659,0.6666666666666666,544
diabetes.a1c.during_dct,11,2,6,9,0.18181818181818182,0.25,0.2105263157894737,69
diabetes.a1c.after_dct,0,0,0,0,0,0,0,0
diabetes.glucose.before_dct,18,3,11,15,0.16666666666666666,0.21428571428571427,0.1875,134
diabetes.glucose.during_dct,15,2,8,13,0.13333333333333333,0.2,0.16,52
diabetes.glucose.after_dct,0,0,0,0,0,0,0,0
obese.mention.before_dct,79,77,18,2,0.9746835443037974,0.8105263157894737,0.8850574712643677,307
obese.mention.during_dct,87,77,18,10,0.8850574712643678,0.8105263157894737,0.8461538461538461,320
obese.mention.after_dct,79,77,18,2,0.9746835443037974,0.8105263157894737,0.8850574712643677,307
obese.bmi.before_dct,2,0,0,2,0.0,0,0,4
obese.bmi.during_dct,13,8,14,5,0.6153846153846154,0.36363636363636365,0.4571428571428572,33
obese.bmi.after_dct,2,0,0,2,0.0,0,0,2
hyperlipidemia.mention.before_dct,237,230,18,7,0.9704641350210971,0.9274193548387096,0.9484536082474226,586
hyperlipidemia.mention.during_dct,237,230,18,7,0.9704641350210971,0.9274193548387096,0.9484536082474226,586
hyperlipidemia.mention.after_dct,237,230,18,7,0.9704641350210971,0.9274193548387096,0.9484536082474226,586
hyperlipidemia.high_ldl.before_dct,26,13,24,13,0.5,0.35135135135135137,0.41269841269841273,54
hyperlipidemia.high_ldl.during_dct,3,0,4,3,0.0,0.0,0,29
hyperlipidemia.high_ldl.after_dct,0,0,0,0,0,0,0,0
hyperlipidemia.high_chol..before_dct,9,1,5,8,0.1111111111111111,0.16666666666666666,0.13333333333333333,32
hyperlipidemia.high_chol..during_dct,2,0,0,2,0.0,0,0,2
hyperlipidemia.high_chol..after_dct,0,0,0,0,0,0,0,0
hypertension.mention.before_dct,365,360,18,5,0.9863013698630136,0.9523809523809523,0.9690444145356663,1119
hypertension.mention.during_dct,367,360,18,7,0.9809264305177112,0.9523809523809523,0.9664429530201343,1119
