Label,Expected,TP,FP,FN,Recall,Precision,F-measure,Training Samples
cad.mention.before_dct,170,164,34,6,0.9647058823529412,0.8282828282828283,0.8913043478260869,254
cad.mention.during_dct,175,164,34,11,0.9371428571428572,0.8282828282828283,0.8793565683646112,255
cad.mention.after_dct,171,164,34,7,0.9590643274853801,0.8282828282828283,0.8888888888888888,253
cad.event.before_dct,129,113,50,16,0.875968992248062,0.6932515337423313,0.7739726027397261,222
cad.event.during_dct,9,1,0,8,0.1111111111111111,1.0,0.19999999999999998,19
cad.event.after_dct,1,0,0,1,0.0,0,0,2
cad.test.before_dct,53,40,25,13,0.7547169811320755,0.6153846153846154,0.6779661016949153,66
cad.test.during_dct,6,2,0,4,0.3333333333333333,1.0,0.5,13
cad.test.after_dct,0,0,0,0,0,0,0,0
cad.symptom.before_dct,41,17,21,24,0.4146341463414634,0.4473684210526316,0.430379746835443,52
cad.symptom.during_dct,26,0,6,26,0.0,0.0,0,23
cad.symptom.after_dct,3,0,0,3,0.0,0,0,3
diabetes.mention.before_dct,354,347,28,7,0.980225988700565,0.9253333333333333,0.9519890260631001,512
diabetes.mention.during_dct,356,347,28,9,0.9747191011235955,0.9253333333333333,0.9493844049247607,518
diabetes.mention.after_dct,355,347,28,8,0.9774647887323944,0.9253333333333333,0.9506849315068493,512
diabetes.a1c.before_dct,71,33,22,38,0.4647887323943662,0.6,0.5238095238095237,69
diabetes.a1c.during_dct,11,0,1,11,0.0,0.0,0,19
diabetes.a1c.after_dct,0,0,0,0,0,0,0,0
diabetes.glucose.before_dct,18,2,9,16,0.1111111111111111,0.18181818181818182,0.13793103448275862,14
diabetes.glucose.during_dct,15,0,0,15,0.0,0,0,7
diabetes.glucose.after_dct,0,0,0,0,0,0,0,0
obese.mention.before_dct,79,76,9,3,0.9620253164556962,0.8941176470588236,0.926829268292683,132
obese.mention.during_dct,87,76,9,11,0.8735632183908046,0.8941176470588236,0.8837209302325582,145
obese.mention.after_dct,79,76,9,3,0.9620253164556962,0.8941176470588236,0.926829268292683,132
obese.bmi.before_dct,2,0,0,2,0.0,0,0,2
obese.bmi.during_dct,13,1,3,12,0.07692307692307693,0.25,0.11764705882352941,11
obese.bmi.after_dct,2,0,0,2,0.0,0,0,1
hyperlipidemia.mention.before_dct,237,220,10,17,0.9282700421940928,0.9565217391304348,0.9421841541755889,331
hyperlipidemia.mention.during_dct,237,220,10,17,0.9282700421940928,0.9565217391304348,0.9421841541755889,331
hyperlipidemia.mention.after_dct,237,220,10,17,0.9282700421940928,0.9565217391304348,0.9421841541755889,331
hyperlipidemia.high_ldl.before_dct,26,1,2,25,0.038461538461538464,0.3333333333333333,0.06896551724137931,16
hyperlipidemia.high_ldl.during_dct,3,0,0,3,0.0,0,0,9
hyperlipidemia.high_ldl.after_dct,0,0,0,0,0,0,0,0
hyperlipidemia.high_chol..before_dct,9,0,0,9,0.0,0,0,7
hyperlipidemia.high_chol..during_dct,2,0,0,2,0.0,0,0,1
hyperlipidemia.high_chol..after_dct,0,0,0,0,0,0,0,0
hypertension.mention.before_dct,365,360,14,5,0.9863013698630136,0.9625668449197861,0.9742895805142084,514
hypertension.mention.during_dct,367,360,14,7,0.9809264305177112,0.9625668449197861,0.97165991902834,513
hypertension.mention.after_dct,366,360,14,6,0.9836065573770492,0.9625668449197861,0.9729729729729729,511
