Label,Expected,TP,FP,FN,Recall,Precision,F-measure,Training Samples
cad.mention,516,492,102,24,0.9534883720930233,0.8282828282828283,0.8864864864864866,762
cad.event,139,114,50,25,0.8201438848920863,0.6951219512195121,0.7524752475247525,243
cad.test,59,42,25,17,0.711864406779661,0.6268656716417911,0.6666666666666667,79
cad.symptom,70,17,27,53,0.24285714285714285,0.38636363636363635,0.2982456140350877,78
diabetes.mention,1065,1041,84,24,0.9774647887323944,0.9253333333333333,0.9506849315068493,1542
diabetes.a1c,82,33,23,49,0.4024390243902439,0.5892857142857143,0.4782608695652174,88
diabetes.glucose,33,2,9,31,0.06060606060606061,0.18181818181818182,0.09090909090909091,21
obese.mention,245,228,27,17,0.9306122448979591,0.8941176470588236,0.9119999999999999,409
obese.bmi,17,1,3,16,0.058823529411764705,0.25,0.09523809523809523,14
hyperlipidemia.mention,711,660,30,51,0.9282700421940928,0.9565217391304348,0.9421841541755889,993
hyperlipidemia.high_ldl,29,1,2,28,0.034482758620689655,0.3333333333333333,0.0625,25
hyperlipidemia.high_chol,11,0,0,11,0.0,0,0,8
hypertension.mention,1098,1080,42,18,0.9836065573770492,0.9625668449197861,0.9729729729729729,1538
hypertension.high_bp,195,130,137,65,0.6666666666666666,0.4868913857677903,0.5627705627705628,359
medication.ace_inhibitor,612,561,84,51,0.9166666666666666,0.8697674418604651,0.8926014319809069,948
medication.anti_diabetes,0,0,0,0,0,0,0,3
medication.arb,193,156,18,37,0.8082901554404145,0.896551724137931,0.8501362397820164,283
medication.aspirin,798,760,100,38,0.9523809523809523,0.8837209302325582,0.916767189384801,1271
medication.beta_blocker,835,784,109,51,0.9389221556886228,0.8779395296752519,0.9074074074074073,1391
medication.calcium_channel_blocker,385,348,54,37,0.9038961038961039,0.8656716417910447,0.8843710292249046,542
medication.diuretic,222,193,69,29,0.8693693693693694,0.7366412213740458,0.7975206611570248,314
medication.dpp4_inhibitors,6,0,0,6,0.0,0,0,1
medication.ezetimibe,36,18,0,18,0.5,1.0,0.6666666666666666,36
medication.fibrate,90,75,15,15,0.8333333333333334,0.8333333333333334,0.8333333333333334,64
medication.insulin,395,375,99,20,0.9493670886075949,0.7911392405063291,0.863060989643268,629
medication.metformin,356,333,84,23,0.9353932584269663,0.7985611510791367,0.8615782664941785,536
medication.niacin,25,0,0,25,0.0,0,0,20
medication.nitrate,271,228,78,43,0.8413284132841329,0.7450980392156863,0.7902946273830155,318
medication.statin,817,780,81,37,0.9547123623011016,0.9059233449477352,0.929678188319428,1274
medication.sulfonylureas,288,276,24,12,0.9583333333333334,0.92,0.9387755102040817,462
medication.thiazolidinedione,61,54,15,7,0.8852459016393442,0.782608695652174,0.8307692307692308,118
medication.thienopyridine,284,261,42,23,0.9190140845070423,0.8613861386138614,0.8892674616695059,281
smoker.current,33,11,4,22,0.3333333333333333,0.7333333333333333,0.45833333333333326,57
smoker.ever,3,0,0,3,0.0,0,0,9
smoker.never,120,96,36,24,0.8,0.7272727272727273,0.761904761904762,183
smoker.past,113,97,65,16,0.8584070796460177,0.5987654320987654,0.7054545454545453,148
smoker.unknown,245,140,65,105,0.5714285714285714,0.6829268292682927,0.6222222222222223,0
family_hist.present,19,2,4,17,0.10526315789473684,0.3333333333333333,0.16,21
family_hist.not_present,495,491,17,4,0.9919191919191919,0.9665354330708661,0.979062811565304,0
