67,54,4,28815,281,297,424,9963,39,599,793,147,71,324,348,945,22,69,3,622,4510,22,32 1,1,1,1,1,1,1,1,1,1,1,1,4,4,17,1,1,1,1,21,1,1,1
16,14,527,10,52,681,312,16238,13,23,353,5,35,15,295,3,1427,10,23,551,3,16,14,1204,1097,1041,2859,1764,255 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,99,733,398,1062,129,183,20,28816,827,89 1,1,1,1,1,1,1,1,1,1,1
50,1403,119,41,52,449,10,1285,6,622 1,1,1,1,1,1,1,1,1,21
336,16235,1538,630,44,406,1062,129,183 1,1,1,1,1,1,1,1,1
181,120,76,103,1843,1135,4125,477,8622,29,3904,76,19,445,29,526,5874,556,9,11755,10,6,309,3,2250,3,2794,8 10,10,10,3,3,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1
372,95,1011,1135,3225,111,4761,131,1362,1911,1472 1,1,1,1,1,1,1,1,1,1,1
557,308,3,21,38,11,48,453,7,88,3170,26,418 1,1,1,1,1,1,1,1,1,1,1,1,1
86,39,355 1,1,1
8624,9965,557,19,6983 1,1,1,1,1
90,116 1,1
287,557,19,2071 15,1,1,12
486,393,4465,3,926,586,3,580,1000,3,1380,2253,1655,9274,640,7,598,248,3221,51,21,11,249,26,361,116 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,897,5,5785 1,1,1,1
1234,16,86,10,52,96,43,64,9563,29,122,23,55 1,1,1,1,1,1,1,1,1,1,1,1,1
86,10,46,598,255,7,244,2859,226,7,184,27,427,3,636,13,288 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,91 1,1
191,60 1,1
2043,992,76,607,19,3981,1475,5364,2581,13,2319 1,1,1,1,1,1,1,1,1,1,1
11,116 1,1
494,2237,483,3,824,12,794,6284,3,653,794,3184,3,1054,264,3,3514,3,1332,3,5,1669,569 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,972,3,28817,4,972,5,3424,569 1,1,1,1,1,1,1,1,1
144,4112,444,3,96,836 1,1,1,1,1,1
9589,4,4112,444,6906,266 1,1,1,1,1,1
1241,3,1403,494,14,507,10,12735,2228,12,153,28818 1,1,1,1,1,1,1,1,1,1,1,1
106,19,3885,1176,1707,5,1860,1796 7,1,1,13,13,1,9,9
63,94,89,16239,185,3,5468 6,6,6,6,6,6,6
16,1762,40,10,4813,10,299,10,23,987,13,271 1,1,1,1,1,1,1,1,1,1,1,1
63,94,2082,40,129,20,28819,27,23,350,112 1,1,1,1,1,1,1,1,1,1,1
50,1403,37,16,14,1019,60,179,1057 1,1,1,1,1,1,1,1,1
17,132,3,11,84,12,355 1,1,1,1,1,1,1
127,1339,127,308,39,1994,6172,1318,1096,69,959,1092,1096,58,1222,892,167,203,1026,274,799,25,32,1405,1314,25,167,737,1863,8623,180,22,49,36,27,1230,167,3797,2862,36,1681,105,770,2124,39,47,36,276,2751,218,108,22,25,32,6983,12140,2485,1458,12141,4,12142,1458,85,12143,27,421,105,348,3217,501,22,58,298,25,69,906,1384,171,22,25,32,191,31,5385,84,12,340,5,2081,274,799,25,32,126,4,28820,2071,378,25,32,1705,1407,126,4,28821,1182,4,9589,33,2332,80,39,30,1234 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
854,1306,6929,70,4818,893 1,1,1,1,1,1
3139,82,771,3,161,315,12145 1,1,1,1,1,1,1
1345,1416,4569,150,30,11,374,150,30,7,623,373 1,1,1,1,1,1,1,1,1,1,1,1
661,208,46,38,1759,779,1271 1,1,1,1,1,1,1
206,30,17,8621,3,7523,12,12146,3,132,919 1,1,1,1,1,1,1,1,1,1,1
896,4067,3,267,727,66,671,4067 1,1,1,1,1,1,1,1
288,27,1376,544,85,135,113,3,712,939 1,1,1,1,1,1,1,1,1,1
3415 14
11,173,541 1,1,1
540,5,2455,1512,1244,4364,6152,81,7,182,90,590,3,3101,3,762,28822,3,3009,3,2151,3,249,3,459,3,421,970,3,16237,3,1393,26,1968,3,611,3,1171,3,418,3,48,453,3,2203,184,147,3,84,12,2222,3,535,1475,3,291,34,3,375,3,446,3,648,3,1366,3,779,432,3,796,3,1235,3,725,3,595,474 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,101,63,94,28823,133,335,386,156,680,207,197,787,767,3,11,199,342,196,11,277,3,4107,3,26,2432,227,100,4642,5695 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
863 1
665 1
11,1866 1,1
2369,569,136,11,240,26,687,448 1,1,1,1,1,1,1,1
44,216,1700 1,1,1
11,216,222,638,11,875,26,2109,1189,48,6209,10,1051 1,1,1,1,1,1,1,1,1,1,1,1,1
232,100,737,656 1,1,1,1
11,407,3,1065,3,26,1116,720,145,156,5,239 1,1,1,1,1,1,1,1,1,1,1,1
11,213,3,502,3,26,561,214,152,5,396 1,1,1,1,1,1,1,1,1,1,1
11,240,26,1128,779,77,11,779,240 1,1,1,1,1,1,1,1,1
623,3673,3,504,985,3,11,1963,548,3,396 1,1,1,1,1,1,1,1,1,1,1
114,11,93 1,1,1
11,1850 1,1
232,443,1070,3327,3532,11,1044,26,690,246,352,2214,2227,55,2687,43,1987,594,3197,1861,208,52,61 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12147,867,17,5930,3,4731,19,2878,1716,3,2560,3,208,52,9924,1988,3509,1861 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
