69,49,4,29437,29,414,4,6088,2,5019,206,485,4,29438,208,49,7,101,4,29439,581,17,101,5019,14,15,1429,1576,345,401,17,29440,7,1522 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,2113,15462,15463 1,1,1,1
2106,8816,181,15464,4776,78,1055,116,77,211,25,632,1883,25,33,230,768,25,33,210,9,894,8,491,35,45,9,62,8,25,33,137,747,152,3051,30,826,257 1,1,1,1,1,8,8,10,1,11,11,1,1,1,1,7,7,7,7,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,11109 1,1
88,862,228,2,868,2,44,34,2,270,2,688,392,2,15465 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,274,7,2852,2,590,26,466 1,1,1,1,1,1,1,1
1302,280,11116,6725,513,223 1,1,1,1,1,1
611,2252,1216,419 1,1,1,1
11,339,115 1,1,1
11,1368,115,820,1612,13968 1,1,1,1,1,1
862,14,1104 1,1,1
15375,10581,2660,1431,573,15466,15467,73,7576,29441,2,11133,1332,2,15468,29442,28,436,2,3349,2,3485,8765,11,277,3949,330,13,11,920,2,1059,2,2384,26,846 1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15469,90,15,75,289,3586,1714,212,2,1268,43,13,11,5551,2,1422,26,1371,5552,463,28,43,558,28,133,13,11,1003,2,693,26,277 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,1,1,1,1
15470,43,5907 1,1,1
878,3109,13,11,1064,5,43,9554 1,1,1,1,1,1,1,1
5347,11,79 1,1,1
243,175,5,863,70 1,1,1,1,1
11116,6725,52 1,1,1
242,448,57 1,1,1
642,5,1492,679,257 1,1,1,1,1
3699,2,1198,2,9837 1,1,1,1,1
1401,1291 1,1
356,608,4776 1,1,1
1542,259,4943,26,138 1,1,1,1,1
526,2367,15471,9056,2,96 1,1,1,1,1,1
