69,49,4,29506,29,414,4,2602,2,9058,206,485,4,29507,208,49,7,101,4,29508,858,391,401,17,207,100,7,23,120,2,116,2,798 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,10,1,1
30,7,156,360,267,23,120,57,425,2,1191,1844,13983,2,1600,11792 1,1,1,1,1,1,4,1,1,1,29,29,29,1,1,1
97,701,29509,553,271,35,2253,146,2,40,1418,428,2076 1,1,1,1,1,1,1,1,1,1,1,1,1
21,31,201,15,337,1925,2,687,4051,301,29510,2,88,803,2,1839,2,1346 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
687,116,57,425 1,10,1,1
88,455,2,270,2,702,2,655 1,1,1,1,1,1,1,1
18,113,444,106,264,531,79,10,1585,193 1,1,1,1,1,1,1,1,1,1
18,14,453,27,6,2305,308,17,23,493,2657 1,1,1,1,1,1,1,1,1,1,1
78,89,30,120,116,103,798,1630,77,493,9,1855,397,8,1974,25,33,32,575,442,2294,261,1770,495,3258,25,291,2745,9,2327,1151,8,5276,25,33,1010,768,25,33,1133,491,25,33,486,1803,131,9,131,486,1629,8,462,405,509,1020,9,184,8,1974,35,45,9,62,8,25,33,220,15483,9494,2234,29511,2385,32,575,128,30,603,4,199,424,477,4,199,424,2843,4,199,424,332,36,152,118,76,36,152,120,36,152,116,36,152,1183,5844 1,1,1,4,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,23,1,1,1,6,6,6,6,6,6,6,6,6,6,6,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,10,1,1,1,14
554,13151 1,1
3907,29512 1,1
11,840 1,1
333,4,352,4,179,30,295,1230,163,7,213,224,36,148,1176,36,148,2583,36,148,1414,36,148,118,5,226,36,148,339,36,148,1368,36,148,29513,36,148,181,36,148,323,36,148,4172,36,148,1713,36,148,3219,36,148,520,359,870,4,7630,9262,296,4,368,135,121,4,8618,643,67,94,4,29514,52,349,93,73,224,893,436,181,11,2315,571 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1
202,3519 1,1
570 1
725 1
2301,43 1,1
11,6601,733 1,1,1
199,3512 1,1
112,11,1289 1,1,1
11,846 1,1
44,90,1203 1,1,1
3561,1268,574 1,1,1
11,387,2,711,2,26,766 1,1,1,1,1,1,1
187,1381,2,133,2,3414 1,1,1,1,1,1
11,342 1,1
445,11,79 1,1,1
171,904,243 1,1,1
167,81,341,127,103,3474,3202,188,132,1037,114,161,3619,4147,486,462,956,513,221 1,4,4,10,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1
155,458,374 1,1,1
926,10,2766 1,1,1
1428,13675,73 1,1,1
165,7002,40,155,1942,17,132,29515,80,297,6702,257 1,1,1,1,1,1,1,1,1,1,1,1
64,40,808,12,153,376,17,111,155 1,1,1,1,1,1,1,1,1
155,945 1,1
126,669,2,1918,2,737 1,25,1,1,1,23
186,10838,155,1060 1,1,1,1
262,7,493,4001,42,493,308 1,1,1,1,1,1,1
249,7481,155,792,80,2,539,6702,1020 1,1,1,1,1,1,1,1,13
351,29516,39,14421,5,1320 1,1,1,1,1,1
3470,752,2,1401,1771 1,1,1,1,1
155,7788 1,1
459,715,14809,64,5740,10,55,15484 1,1,1,1,1,1,1,1
19,400,101,2,3802,13,1308,40,8182 1,1,1,1,1,1,1,1,1
526,4675,4047,15485,2,96 1,1,1,1,1,1
