Label,Expected,TP,FP,FN,Recall,Precision,F-measure,Training Samples
cad.mention.before_dct,170,165,35,5,0.9705882352941176,0.825,0.8918918918918919,254
cad.mention.during_dct,175,165,35,10,0.9428571428571428,0.825,0.88,255
cad.mention.after_dct,171,165,35,6,0.9649122807017544,0.825,0.889487870619946,253
cad.event.before_dct,129,110,58,19,0.8527131782945736,0.6547619047619048,0.7407407407407406,222
cad.event.during_dct,9,0,2,9,0.0,0.0,0,19
cad.event.after_dct,1,0,0,1,0.0,0,0,2
cad.test.before_dct,53,47,39,6,0.8867924528301887,0.5465116279069767,0.6762589928057554,66
cad.test.during_dct,6,2,5,4,0.3333333333333333,0.2857142857142857,0.30769230769230765,13
cad.test.after_dct,0,0,0,0,0,0,0,0
cad.symptom.before_dct,41,16,21,25,0.3902439024390244,0.43243243243243246,0.4102564102564103,52
cad.symptom.during_dct,26,5,11,21,0.19230769230769232,0.3125,0.2380952380952381,23
cad.symptom.after_dct,3,0,0,3,0.0,0,0,3
diabetes.mention.before_dct,354,349,28,5,0.9858757062146892,0.9257294429708223,0.9548563611491108,512
diabetes.mention.during_dct,356,349,28,7,0.9803370786516854,0.9257294429708223,0.9522510231923601,518
diabetes.mention.after_dct,355,349,28,6,0.9830985915492958,0.9257294429708223,0.953551912568306,512
diabetes.a1c.before_dct,71,50,20,21,0.704225352112676,0.7142857142857143,0.7092198581560283,69
diabetes.a1c.during_dct,11,0,3,11,0.0,0.0,0,19
diabetes.a1c.after_dct,0,0,0,0,0,0,0,0
diabetes.glucose.before_dct,18,1,3,17,0.05555555555555555,0.25,0.0909090909090909,14
diabetes.glucose.during_dct,15,0,0,15,0.0,0,0,7
diabetes.glucose.after_dct,0,0,0,0,0,0,0,0
obese.mention.before_dct,79,77,13,2,0.9746835443037974,0.8555555555555555,0.9112426035502957,132
obese.mention.during_dct,87,77,13,10,0.8850574712643678,0.8555555555555555,0.8700564971751412,145
obese.mention.after_dct,79,77,13,2,0.9746835443037974,0.8555555555555555,0.9112426035502957,132
obese.bmi.before_dct,2,0,0,2,0.0,0,0,2
obese.bmi.during_dct,13,1,5,12,0.07692307692307693,0.16666666666666666,0.10526315789473684,11
obese.bmi.after_dct,2,0,0,2,0.0,0,0,1
hyperlipidemia.mention.before_dct,237,224,11,13,0.9451476793248945,0.9531914893617022,0.9491525423728814,331
hyperlipidemia.mention.during_dct,237,224,11,13,0.9451476793248945,0.9531914893617022,0.9491525423728814,331
hyperlipidemia.mention.after_dct,237,224,11,13,0.9451476793248945,0.9531914893617022,0.9491525423728814,331
hyperlipidemia.high_ldl.before_dct,26,2,3,24,0.07692307692307693,0.4,0.12903225806451613,16
hyperlipidemia.high_ldl.during_dct,3,0,1,3,0.0,0.0,0,9
hyperlipidemia.high_ldl.after_dct,0,0,0,0,0,0,0,0
hyperlipidemia.high_chol..before_dct,9,0,1,9,0.0,0.0,0,7
hyperlipidemia.high_chol..during_dct,2,0,0,2,0.0,0,0,1
hyperlipidemia.high_chol..after_dct,0,0,0,0,0,0,0,0
hypertension.mention.before_dct,365,358,12,7,0.9808219178082191,0.9675675675675676,0.9741496598639455,514
hypertension.mention.during_dct,367,358,12,9,0.9754768392370572,0.9675675675675676,0.9715061058344641,513
hypertension.mention.after_dct,366,358,12,8,0.9781420765027322,0.9675675675675676,0.9728260869565217,511
hypertension.high_bp.before_dct,20,2,2,18,0.1,0.5,0.16666666666666669,39
hypertension.high_bp.during_dct,175,154,182,21,0.88,0.4583333333333333,0.6027397260273972,320
hypertension.high_bp.after_dct,0,0,0,0,0,0,0,0
medication.ace_inhibitor.before_dct,209,181,28,28,0.8660287081339713,0.8660287081339713,0.8660287081339713,320
medication.ace_inhibitor.during_dct,199,181,28,18,0.9095477386934674,0.8660287081339713,0.8872549019607844,312
medication.ace_inhibitor.after_dct,204,181,28,23,0.8872549019607843,0.8660287081339713,0.8765133171912832,316
medication.anti_diabetes.before_dct,0,0,0,0,0,0,0,1
medication.anti_diabetes.during_dct,0,0,0,0,0,0,0,1
medication.anti_diabetes.after_dct,0,0,0,0,0,0,0,1
medication.arb.before_dct,67,53,6,14,0.7910447761194029,0.8983050847457628,0.8412698412698412,96
medication.arb.during_dct,64,53,6,11,0.828125,0.8983050847457628,0.8617886178861789,92
medication.arb.after_dct,62,53,6,9,0.8548387096774194,0.8983050847457628,0.8760330578512397,95
medication.aspirin.before_dct,263,249,22,14,0.9467680608365019,0.9188191881918819,0.9325842696629213,421
medication.aspirin.during_dct,273,252,24,21,0.9230769230769231,0.9130434782608695,0.9180327868852459,428
medication.aspirin.after_dct,262,249,22,13,0.950381679389313,0.9188191881918819,0.9343339587242026,422
medication.beta_blocker.before_dct,276,260,36,16,0.9420289855072463,0.8783783783783784,0.9090909090909092,462
medication.beta_blocker.during_dct,281,260,36,21,0.9252669039145908,0.8783783783783784,0.9012131715771231,464
medication.beta_blocker.after_dct,278,260,36,18,0.935251798561151,0.8783783783783784,0.9059233449477351,465
medication.calcium_channel_blocker.before_dct,129,116,18,13,0.8992248062015504,0.8656716417910447,0.8821292775665398,185
medication.calcium_channel_blocker.during_dct,128,116,18,12,0.90625,0.8656716417910447,0.8854961832061069,177
medication.calcium_channel_blocker.after_dct,128,116,18,12,0.90625,0.8656716417910447,0.8854961832061069,180
medication.diuretic.before_dct,80,66,23,14,0.825,0.7415730337078652,0.7810650887573964,112
medication.diuretic.during_dct,70,66,23,4,0.9428571428571428,0.7415730337078652,0.8301886792452831,98
medication.diuretic.after_dct,72,66,23,6,0.9166666666666666,0.7415730337078652,0.8198757763975156,104
medication.dpp4_inhibitors.before_dct,2,0,0,2,0.0,0,0,1
medication.dpp4_inhibitors.during_dct,2,0,0,2,0.0,0,0,0
medication.dpp4_inhibitors.after_dct,2,0,0,2,0.0,0,0,0
medication.ezetimibe.before_dct,11,0,0,11,0.0,0,0,12
medication.ezetimibe.during_dct,11,0,0,11,0.0,0,0,12
medication.ezetimibe.after_dct,14,0,0,14,0.0,0,0,12
medication.fibrate.before_dct,31,10,0,21,0.3225806451612903,1.0,0.4878048780487805,22
medication.fibrate.during_dct,29,10,0,19,0.3448275862068966,1.0,0.5128205128205129,20
medication.fibrate.after_dct,30,10,0,20,0.3333333333333333,1.0,0.5,22
medication.insulin.before_dct,132,124,31,8,0.9393939393939394,0.8,0.8641114982578397,203
medication.insulin.during_dct,131,124,31,7,0.9465648854961832,0.8,0.8671328671328672,215
medication.insulin.after_dct,132,124,31,8,0.9393939393939394,0.8,0.8641114982578397,211
medication.metformin.before_dct,125,111,28,14,0.888,0.7985611510791367,0.8409090909090909,185
medication.metformin.during_dct,113,111,28,2,0.9823008849557522,0.7985611510791367,0.880952380952381,174
medication.metformin.after_dct,118,111,28,7,0.940677966101695,0.7985611510791367,0.8638132295719845,177
medication.niacin.before_dct,9,0,0,9,0.0,0,0,7
medication.niacin.during_dct,7,0,0,7,0.0,0,0,6
medication.niacin.after_dct,9,0,0,9,0.0,0,0,7
medication.nitrate.before_dct,91,69,20,22,0.7582417582417582,0.7752808988764045,0.7666666666666667,110
medication.nitrate.during_dct,95,77,23,18,0.8105263157894737,0.77,0.7897435897435898,118
medication.nitrate.after_dct,85,69,20,16,0.8117647058823529,0.7752808988764045,0.793103448275862,90
medication.statin.before_dct,274,257,24,17,0.9379562043795621,0.9145907473309609,0.9261261261261261,426
medication.statin.during_dct,266,257,24,9,0.9661654135338346,0.9145907473309609,0.9396709323583181,418
medication.statin.after_dct,277,257,25,20,0.927797833935018,0.9113475177304965,0.9194991055456171,430
medication.sulfonylureas.before_dct,98,92,9,6,0.9387755102040817,0.9108910891089109,0.9246231155778896,156
medication.sulfonylureas.during_dct,94,92,9,2,0.9787234042553191,0.9108910891089109,0.9435897435897436,152
medication.sulfonylureas.after_dct,96,92,9,4,0.9583333333333334,0.9108910891089109,0.934010152284264,154
medication.thiazolidinedione.before_dct,22,17,5,5,0.7727272727272727,0.7727272727272727,0.7727272727272727,41
medication.thiazolidinedione.during_dct,19,17,5,2,0.8947368421052632,0.7727272727272727,0.8292682926829269,39
medication.thiazolidinedione.after_dct,20,17,5,3,0.85,0.7727272727272727,0.8095238095238095,38
medication.thienopyridine.before_dct,97,84,16,13,0.865979381443299,0.84,0.8527918781725888,94
medication.thienopyridine.during_dct,95,84,16,11,0.8842105263157894,0.84,0.8615384615384616,93
medication.thienopyridine.after_dct,92,84,16,8,0.9130434782608695,0.84,0.8749999999999999,94
smoker.current,33,13,13,20,0.3939393939393939,0.5,0.4406779661016949,57
smoker.ever,3,0,0,3,0.0,0,0,9
smoker.never,120,94,24,26,0.7833333333333333,0.7966101694915254,0.7899159663865546,183
smoker.past,113,108,73,5,0.9557522123893806,0.5966850828729282,0.7346938775510206,148
smoker.unknown,245,135,54,110,0.5510204081632653,0.7142857142857143,0.6221198156682026,0
family_hist.present,19,4,6,15,0.21052631578947367,0.4,0.27586206896551724,21
family_hist.not_present,495,489,15,6,0.9878787878787879,0.9702380952380952,0.978978978978979,0
