67,54,4,27099,1279,87,302,573,7,939,33,36,8569 1,1,1,1,1,1,1,1,1,1,1,1,1
919,582 1,1
1037,11950,5438,3094,687,282,436,207,5090,1549,1725 1,1,1,1,1,1,1,1,1,1,1
212,33,251,27100,2276,2057,14,1448 10,1,3,1,1,1,1,1
2187,33,200 1,1,1
8567,241,570,15756,635,12,687,1186,33,311,635 1,1,1,1,1,1,1,1,1,1,1
4038,14,59,194,1537,123,1857,123,1715,632,7193 1,1,1,1,1,1,1,1,1,1,1
4432,70,635,57,98,7193 1,1,1,1,1,1
128,27101,12,6,5167,635 1,1,1,1,1,1
1225,8567,6350 1,1,1
703,8019,763,5,15757 1,1,1,1,1
59,635,4659,8323,1186,33,70,210,123,210,123,210,643,11951,70,929,15758,15758,11951,539,123,210,123,929,194,4938,1293,123,36,123,1857,3380 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,615,123,108,123,36,53,687,320,123,108,123,539,11951,59,955,123,1492,123,955,632 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194,4938,108,123,117,123,320,643,2521,30,5,579,1129,137,5,169,1186 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,84,12,978 1,1,1,1
59,635,21,68,27102,664,14,1153,70,41,160,6350 1,1,1,1,1,1,1,1,1,1,1,1
132,21,71,5,14,132,19,348 1,1,4,1,1,1,1,17
235,488,397,1462,1325 1,1,1,1,1
18,5,1037,46,68,285,19,11952,7,2524 1,1,1,1,1,1,1,1,1,1
579,1754,4,140,211 1,1,1,1,1
1059,44 1,1
4158,10,52,2601 1,1,1,1
2460,467 1,1
413,11,1041,555 1,1,1,1
11,3277,314 1,1,1
412,4,889,467,33,21,1416 1,1,1,1,1,1,1
994,4,11,535,1475 1,1,1,1,1
2222,886 1,1
11,136,94,103,4,11,48,34 1,1,1,1,1,1,1,1
11,418 1,1
386,4,11,380,437 1,1,1,1,1
27103,263,159,2806,11953,38,48,738,5090,49,1384,12,1532,361,4,27104,1248 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,535,13,326,656 1,1,1,1,1
1309,4,336,97,535 1,1,1,1,1
3329 1
5766,4,11,34,26,2292,33,8302,2121,595,2292 1,1,1,1,1,1,1,1,1,1,1
628,14,232 1,1,1
1326,4,535,391,33,115,10,336,26,27105,980,26,1037,3403 1,1,1,1,1,1,1,1,1,1,1,1,1,1
1626,14,1248 1,1,1
39,236,141,2427,1895,3449,274,279,348,501,123,58,252,1384,171,780,1211,1231,1532,1628,127,1765,27106,83,206,30,3682,27107,1037,11950,5438,33,79,7,7330 1,12,1,25,20,1,9,1,17,1,1,1,11,1,1,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,39,30,27108,487,5,872,1725,212,5480,164,27,440,539,129 1,1,1,1,1,1,1,1,10,1,1,1,1,1,1
102,101,118,140 1,1,1,1
27109,3277 1,1
2361 1
316,205,4,364,1437,148,3126,1844,625,227,4,27110,296,3036,8517,91 1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1
11,5410 1,1
2369,97,243 1,1,1
27111,216 1,1
11,315,875,27112,10456,638 1,1,1,1,1,1
687,4,1257,190,51,1019,2916,194,4938,635 1,1,1,1,1,1,1,1,1,1
53,635,36,2038,632 1,1,1,1,1
339,687,635 1,1,1
5171,687 1,1
1129,137,5,169,1186,33,211,51,482,1153,6,70,635,41,160,62,6350 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,13,1340,5,1824 1,1,1,1,1
