Label,Expected,TP,FP,FN,Recall,Precision,F-measure,Training Samples
cad.mention.before_dct,170,166,46,4,0.9764705882352941,0.7830188679245284,0.8691099476439791,254
cad.mention.during_dct,175,166,46,9,0.9485714285714286,0.7830188679245284,0.8578811369509045,255
cad.mention.after_dct,171,166,46,5,0.9707602339181286,0.7830188679245284,0.8668407310704962,253
cad.event.before_dct,129,81,9,48,0.627906976744186,0.9,0.7397260273972602,222
cad.event.during_dct,9,0,0,9,0.0,0,0,19
cad.event.after_dct,1,0,0,1,0.0,0,0,2
cad.test.before_dct,53,48,38,5,0.9056603773584906,0.5581395348837209,0.6906474820143885,66
cad.test.during_dct,6,0,0,6,0.0,0,0,13
cad.test.after_dct,0,0,0,0,0,0,0,0
cad.symptom.before_dct,41,1,0,40,0.024390243902439025,1.0,0.047619047619047616,52
cad.symptom.during_dct,26,0,0,26,0.0,0,0,23
cad.symptom.after_dct,3,0,0,3,0.0,0,0,3
diabetes.mention.before_dct,354,347,24,7,0.980225988700565,0.9353099730458221,0.9572413793103448,512
diabetes.mention.during_dct,356,347,24,9,0.9747191011235955,0.9353099730458221,0.9546079779917469,518
diabetes.mention.after_dct,355,347,24,8,0.9774647887323944,0.9353099730458221,0.9559228650137741,512
diabetes.a1c.before_dct,71,36,8,35,0.5070422535211268,0.8181818181818182,0.6260869565217392,69
diabetes.a1c.during_dct,11,0,0,11,0.0,0,0,19
diabetes.a1c.after_dct,0,0,0,0,0,0,0,0
diabetes.glucose.before_dct,18,0,0,18,0.0,0,0,14
diabetes.glucose.during_dct,15,0,0,15,0.0,0,0,7
diabetes.glucose.after_dct,0,0,0,0,0,0,0,0
obese.mention.before_dct,79,77,18,2,0.9746835443037974,0.8105263157894737,0.8850574712643677,132
obese.mention.during_dct,87,77,18,10,0.8850574712643678,0.8105263157894737,0.8461538461538461,145
obese.mention.after_dct,79,77,18,2,0.9746835443037974,0.8105263157894737,0.8850574712643677,132
obese.bmi.before_dct,2,0,0,2,0.0,0,0,2
obese.bmi.during_dct,13,0,0,13,0.0,0,0,11
obese.bmi.after_dct,2,0,0,2,0.0,0,0,1
hyperlipidemia.mention.before_dct,237,223,11,14,0.9409282700421941,0.9529914529914529,0.9469214437367304,331
hyperlipidemia.mention.during_dct,237,223,11,14,0.9409282700421941,0.9529914529914529,0.9469214437367304,331
hyperlipidemia.mention.after_dct,237,223,11,14,0.9409282700421941,0.9529914529914529,0.9469214437367304,331
hyperlipidemia.high_ldl.before_dct,26,0,0,26,0.0,0,0,16
hyperlipidemia.high_ldl.during_dct,3,0,0,3,0.0,0,0,9
hyperlipidemia.high_ldl.after_dct,0,0,0,0,0,0,0,0
hyperlipidemia.high_chol..before_dct,9,0,0,9,0.0,0,0,7
hyperlipidemia.high_chol..during_dct,2,0,0,2,0.0,0,0,1
hyperlipidemia.high_chol..after_dct,0,0,0,0,0,0,0,0
hypertension.mention.before_dct,365,360,18,5,0.9863013698630136,0.9523809523809523,0.9690444145356663,514
