Label,Expected,TP,FP,FN,Recall,Precision,F-measure,Training Samples
cad.mention,516,498,138,18,0.9651162790697675,0.7830188679245284,0.8645833333333334,762
cad.event,139,81,9,58,0.5827338129496403,0.9,0.7074235807860262,243
cad.test,59,48,38,11,0.8135593220338984,0.5581395348837209,0.6620689655172414,79
cad.symptom,70,1,0,69,0.014285714285714285,1.0,0.028169014084507043,78
diabetes.mention,1065,1041,72,24,0.9774647887323944,0.9353099730458221,0.9559228650137741,1542
diabetes.a1c,82,36,8,46,0.43902439024390244,0.8181818181818182,0.5714285714285715,88
diabetes.glucose,33,0,0,33,0.0,0,0,21
obese.mention,245,231,54,14,0.9428571428571428,0.8105263157894737,0.8716981132075471,409
obese.bmi,17,0,0,17,0.0,0,0,14
hyperlipidemia.mention,711,669,33,42,0.9409282700421941,0.9529914529914529,0.9469214437367304,993
hyperlipidemia.high_ldl,29,0,0,29,0.0,0,0,25
hyperlipidemia.high_chol,11,0,0,11,0.0,0,0,8
hypertension.mention,1098,1080,54,18,0.9836065573770492,0.9523809523809523,0.9677419354838709,1538
hypertension.high_bp,195,153,169,42,0.7846153846153846,0.4751552795031056,0.5918762088974855,359
medication.ace_inhibitor,612,543,96,69,0.8872549019607843,0.8497652582159625,0.86810551558753,948
medication.anti_diabetes,0,0,0,0,0,0,0,3
medication.arb,193,0,0,193,0.0,0,0,283
medication.aspirin,798,762,105,36,0.9548872180451128,0.8788927335640139,0.9153153153153154,1271
medication.beta_blocker,835,759,114,76,0.9089820359281438,0.8694158075601375,0.8887587822014053,1391
medication.calcium_channel_blocker,385,303,33,82,0.787012987012987,0.9017857142857143,0.840499306518724,542
medication.diuretic,222,162,57,60,0.7297297297297297,0.7397260273972602,0.7346938775510203,314
medication.dpp4_inhibitors,6,0,0,6,0.0,0,0,1
medication.ezetimibe,36,0,0,36,0.0,0,0,36
medication.fibrate,90,0,0,90,0.0,0,0,64
medication.insulin,395,372,84,23,0.9417721518987342,0.8157894736842105,0.8742655699177438,629
medication.metformin,356,333,84,23,0.9353932584269663,0.7985611510791367,0.8615782664941785,536
medication.niacin,25,0,0,25,0.0,0,0,20
medication.nitrate,271,177,33,94,0.6531365313653137,0.8428571428571429,0.735966735966736,318
medication.statin,817,765,84,52,0.9363525091799265,0.901060070671378,0.9183673469387755,1274
medication.sulfonylureas,288,252,21,36,0.875,0.9230769230769231,0.8983957219251337,462
medication.thiazolidinedione,61,42,12,19,0.6885245901639344,0.7777777777777778,0.7304347826086957,118
medication.thienopyridine,284,258,48,26,0.9084507042253521,0.8431372549019608,0.8745762711864407,281
smoker.current,33,0,0,33,0.0,0,0,57
smoker.ever,3,0,0,3,0.0,0,0,9
smoker.never,120,83,29,37,0.6916666666666667,0.7410714285714286,0.7155172413793103,183
smoker.past,113,93,32,20,0.8230088495575221,0.744,0.7815126050420168,148
smoker.unknown,245,184,93,61,0.7510204081632653,0.6642599277978339,0.7049808429118773,0
family_hist.present,19,0,0,19,0.0,0,0,21
family_hist.not_present,495,495,19,0,1.0,0.9630350194552529,0.9811694747274529,0
